IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,skor_akses_dasar,skor_konektivitas,skor_pengelolaan_lingkungan,skor_kesejahteraan,skor_kelembagaan_ekonomi,skor_produktivitas_ekonomi,skor_akses_kesehatan,skor_kualitas_kesehatan,skor_program_kesehatan,skor_pendidikan_lanjut,skor_literasi_masyarakat,skor_kualitas_lingkungan,skor_ketahanan_bencana,skor_digital_readiness,skor_status_wilayah,skor_karakteristik_khusus,sektor_pertanian,sektor_industri,sektor_jasa,status_perkotaan,ada_pades,ada_bumdes,ada_sid,kelengkapan_pendidikan,ada_vokasi,ada_mitigasi_bencana,kelengkapan_kesehatan,kelengkapan_ekonomi,cluster,total_penduduk,total_kk,cluster_label,cluster_label_detail,final_label
3501010011,PACITAN,DONOROJO,DONOROJO,1,-8.0913555,2,110.9879505,100.0,93.75,48.75,75.0,43.33333333333333,30.0,25.72639225181598,100.0,60.0,60.0,0.0,100.0,50.0,60.0,60.0,30.0,1,0,0,1,1,1,1,4,1,0,3,0,0,6608,1652,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010012,PACITAN,DONOROJO,BELAH,1,-8.0887199,2,110.9845216,100.0,100.0,6.25,75.0,86.66666666666666,9.090909090909092,13.157894736842104,100.0,60.0,20.0,0.0,100.0,50.0,68.75,60.0,30.0,1,0,0,1,1,1,1,3,1,0,2,3,0,5700,1425,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020001,PACITAN,PUNUNG,BOMO,2,-8.1721352,2,110.9738654,100.0,100.0,6.25,75.21690605643764,58.33333333333333,16.36363636363636,6.77139761646804,100.0,60.0,80.0,40.0,50.0,75.0,68.75,0.0,65.0,1,0,0,0,1,1,1,4,0,1,2,0,0,3692,923,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020002,PACITAN,PUNUNG,SOOKA,2,-8.152704,2,111.0221679,100.0,100.0,0.0,75.26273528883456,65.83333333333333,69.77272727272728,16.404199475065617,100.0,60.0,80.0,40.0,50.0,75.0,68.75,0.0,65.0,1,0,0,0,1,1,1,4,0,1,2,0,0,3048,762,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020003,PACITAN,PUNUNG,PUNUNG,1,-8.1380544,2,111.0168724,100.0,100.0,85.0,72.2463234099246,43.33333333333333,65.0,24.907321594068584,96.4729327183133,60.0,80.0,100.0,50.0,37.5,68.75,60.0,65.0,1,0,0,1,1,1,1,4,0,0,3,0,0,8632,2158,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020004,PACITAN,PUNUNG,MENDOLO KIDUL,2,-8.130188,2,111.032582,100.0,100.0,6.25,75.37632385355626,73.33333333333333,65.0,14.097744360902254,100.0,100.0,0.0,0.0,100.0,75.0,68.75,0.0,30.0,1,0,0,0,1,1,1,2,0,1,2,3,0,2128,532,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020005,PACITAN,PUNUNG,MENDOLO LOR,2,-8.1203589,2,111.0286755,70.0,100.0,33.75,75.38612206382243,30.0,39.54545454545455,8.437801350048215,100.0,100.0,80.0,0.0,100.0,75.0,68.75,0.0,30.0,1,0,0,0,1,0,1,4,0,1,2,0,0,4148,1037,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020006,PACITAN,PUNUNG,KENDAL,2,-8.1407114,2,111.0027084,100.0,100.0,41.25,76.30852477184268,45.0,45.0,24.509803921568626,100.0,100.0,0.0,40.0,50.0,100.0,68.75,0.0,35.0,1,0,0,0,1,0,1,2,0,1,2,0,0,1836,459,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020007,PACITAN,PUNUNG,PITON,2,-8.153707,2,111.0055173,100.0,100.0,6.25,75.34164554623197,43.33333333333333,55.0,19.19795221843004,100.0,60.0,0.0,40.0,100.0,75.0,68.75,0.0,65.0,1,0,0,0,1,1,1,2,0,1,2,0,0,2344,586,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020008,PACITAN,PUNUNG,WARENG,2,-8.1160935,2,110.9916086,100.0,100.0,21.25,75.31039424820455,43.33333333333333,49.54545454545455,9.689922480620154,100.0,60.0,0.0,40.0,50.0,100.0,68.75,0.0,65.0,1,0,0,0,1,1,1,2,0,1,1,0,0,2580,645,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020009,PACITAN,PUNUNG,MANTREN,2,-8.1247162,2,111.0014536,100.0,100.0,6.25,75.0,43.33333333333333,68.86363636363636,10.26694045174538,100.0,100.0,0.0,40.0,100.0,50.0,68.75,0.0,30.0,1,0,0,0,1,1,1,2,0,0,1,0,0,3896,974,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020010,PACITAN,PUNUNG,PLOSO,2,-8.0823601,2,111.0598992,70.0,100.0,0.0,81.9293284643107,43.33333333333333,16.36363636363636,4.659211927582534,100.0,100.0,80.0,35.0,100.0,75.0,68.75,0.0,65.0,1,0,0,0,1,1,1,4,0,1,2,0,0,7512,1878,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020011,PACITAN,PUNUNG,GONDOSARI,1,-8.1104035,2,111.0796538,70.0,100.0,6.25,75.13000278577398,43.33333333333333,44.09090909090909,16.233766233766232,100.0,100.0,40.0,100.0,50.0,75.0,68.75,60.0,30.0,1,0,0,1,1,1,1,3,0,1,3,0,0,6160,1540,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020012,PACITAN,PUNUNG,TINATAR,2,-8.08465,2,111.0920117,100.0,100.0,81.25,77.17613358795577,58.33333333333333,44.09090909090909,6.793478260869565,100.0,60.0,60.0,0.0,100.0,75.0,68.75,0.0,65.0,1,0,0,0,1,1,1,4,1,1,1,1,0,3680,920,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501020013,PACITAN,PUNUNG,KEBONSARI,2,-8.0658417,2,111.0803017,100.0,100.0,0.0,100.0,65.83333333333333,45.0,12.647554806070826,100.0,100.0,0.0,40.0,50.0,75.0,56.25,0.0,65.0,1,0,0,0,1,1,1,2,0,0,1,0,0,2372,593,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030001,PACITAN,PRINGKUKU,WATU KARUNG,2,-8.2242796,2,110.9786799,100.0,100.0,75.0,75.35497214555306,43.33333333333333,37.72727272727273,8.865248226950355,100.0,100.0,0.0,0.0,100.0,100.0,68.75,0.0,100.0,1,0,0,0,1,1,1,2,0,1,2,0,0,2256,564,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030002,PACITAN,PRINGKUKU,DERSONO,2,-8.2037881,2,110.9683077,100.0,100.0,0.0,76.75771984277375,50.83333333333333,0.0,9.877085162423178,100.0,100.0,40.0,40.0,50.0,62.5,75.0,0.0,65.0,1,0,0,0,1,1,1,3,0,0,2,1,0,4556,1139,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030003,PACITAN,PRINGKUKU,SUGIHWARAS,2,-8.1915317,2,110.994245,100.0,100.0,0.0,75.55612302803314,43.33333333333333,45.0,6.944444444444445,100.0,100.0,40.0,0.0,50.0,50.0,75.0,0.0,65.0,1,0,0,0,1,1,1,3,0,0,1,0,0,1440,360,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030004,PACITAN,PRINGKUKU,JLUBANG,1,-8.2090815,2,111.0062149,100.0,100.0,0.0,75.0,30.0,3.636363636363636,8.196721311475411,100.0,100.0,0.0,0.0,100.0,50.0,56.25,60.0,100.0,1,0,0,1,1,0,1,2,0,0,2,0,0,2440,610,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030005,PACITAN,PRINGKUKU,CANDI,1,-8.219274,2,111.0274409,100.0,93.75,33.75,75.30895723779619,43.33333333333333,40.45454545454545,10.609567901234568,100.0,60.0,40.0,40.0,33.335,100.0,60.0,60.0,100.0,1,0,0,1,1,1,1,3,0,1,3,0,0,5184,1296,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030006,PACITAN,PRINGKUKU,POKO,1,-8.2204547,2,111.0430034,100.0,100.0,0.0,76.73874693628227,43.33333333333333,35.90909090909091,7.754342431761787,100.0,100.0,0.0,40.0,50.0,50.0,68.75,60.0,100.0,1,0,0,1,1,1,1,2,0,0,2,1,0,3224,806,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030007,PACITAN,PRINGKUKU,DADAPAN,1,-8.2167958,2,111.0579149,100.0,100.0,60.0,75.84001800038573,43.33333333333333,5.454545454545455,19.230769230769237,100.0,60.0,0.0,35.0,50.0,50.0,68.75,60.0,100.0,1,0,0,1,1,1,1,2,0,0,2,2,0,2860,715,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030008,PACITAN,PRINGKUKU,PRINGKUKU,1,-8.1893933,2,111.0437549,100.0,100.0,0.0,75.44989728110546,43.33333333333333,39.54545454545455,7.490636704119851,100.0,100.0,40.0,40.0,100.0,50.0,68.75,60.0,65.0,1,0,0,1,1,1,1,3,0,0,2,1,0,5340,1335,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030009,PACITAN,PRINGKUKU,SOBO,2,-8.1831418,2,111.0212366,100.0,100.0,0.0,75.0,30.0,41.36363636363636,8.771929824561404,100.0,100.0,0.0,0.0,100.0,50.0,68.75,0.0,30.0,1,0,0,0,1,0,1,2,0,0,1,0,0,1140,285,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030010,PACITAN,PRINGKUKU,NGADIREJAN,1,-8.1653696,2,111.0443024,100.0,100.0,0.0,70.12838505256025,50.83333333333333,2.7272727272727275,19.201228878648237,94.1540620630723,60.0,100.0,40.0,50.0,50.0,81.25,60.0,65.0,1,0,0,1,1,1,1,4,1,0,3,0,0,5208,1302,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030011,PACITAN,PRINGKUKU,GLINGGANGAN,1,-8.1541604,2,111.0710505,70.0,100.0,0.0,75.0,86.66666666666666,45.0,8.123476848090984,100.0,60.0,40.0,40.0,100.0,100.0,68.75,60.0,65.0,1,0,0,1,1,1,1,3,0,1,2,3,0,4924,1231,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030012,PACITAN,PRINGKUKU,PELEM,1,-8.1244379,2,111.070612,70.0,100.0,0.0,77.59444004438788,43.33333333333333,43.18181818181818,7.199424046076314,100.0,60.0,0.0,40.0,50.0,50.0,68.75,60.0,65.0,1,0,0,1,1,1,1,2,0,1,2,0,0,5556,1389,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501030013,PACITAN,PRINGKUKU,TAMANASRI,1,-8.114741,2,111.0734071,69.96027805362462,100.0,0.0,69.29768640388205,43.33333333333333,38.63636363636363,7.447864945382324,92.44149831789484,100.0,0.0,40.0,100.0,37.5,68.75,60.0,65.0,1,0,0,1,1,1,1,2,0,0,2,1,0,4028,1007,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040001,PACITAN,PACITAN,SIDOHARJO,1,-8.1961533,2,111.0947963,100.0,100.0,93.75,75.18079857624195,43.33333333333333,42.27272727272727,9.783263094521372,100.0,60.0,60.0,0.0,100.0,100.0,68.75,100.0,70.0,0,0,1,1,1,1,1,4,1,1,2,0,2,13288,3322,Semi-Perkotaan Sangat Maju,Semi-Perkotaan Sangat Maju - Industri,Desa Industrial Maju
3501040002,PACITAN,PACITAN,PLOSO,1,-8.2031669,2,111.099281,100.0,100.0,93.75,75.0,22.5,53.18181818181819,21.678966789667896,100.0,100.0,100.0,40.0,100.0,100.0,75.0,100.0,35.0,0,0,1,1,0,0,0,4,1,1,2,2,1,10840,2710,Perkotaan Sangat Maju,Perkotaan Sangat Maju - Jasa,Desa Urban Modern
3501040003,PACITAN,PACITAN,KEMBANG,1,-8.2125009,2,111.1157383,100.0,100.0,15.0,76.45678797364191,22.5,20.0,7.796257796257796,100.0,60.0,80.0,40.0,100.0,100.0,75.0,60.0,70.0,1,0,0,1,0,0,0,4,0,1,2,2,1,3848,962,Perkotaan Sangat Maju,Perkotaan Sangat Maju - Jasa,Desa Urban Modern
3501040004,PACITAN,PACITAN,SUKOHARJO,1,-8.212684,2,111.1323042,100.0,100.0,15.0,75.32606561904223,37.5,62.27272727272727,32.57328990228013,100.0,60.0,0.0,40.0,100.0,100.0,75.0,60.0,35.0,1,0,0,1,1,0,1,2,0,1,2,0,0,2456,614,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040005,PACITAN,PACITAN,KAYEN,1,-8.2116038,2,111.1380285,70.0,100.0,46.25,75.0,50.83333333333333,38.63636363636363,7.645259938837922,100.0,100.0,40.0,0.0,100.0,100.0,75.0,60.0,65.0,1,0,0,1,1,1,1,3,0,1,2,0,0,3924,981,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040006,PACITAN,PACITAN,SIRNOBOYO,1,-8.2014931,2,111.1152786,100.0,100.0,15.0,76.15791954940389,65.83333333333333,57.72727272727272,11.56737998843262,100.0,60.0,0.0,0.0,100.0,100.0,75.0,60.0,0.0,1,0,0,1,1,1,1,2,0,1,2,0,0,6916,1729,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040007,PACITAN,PACITAN,ARJOWINANGUN,1,-8.1988454,2,111.1182216,100.0,100.0,81.25,76.41237594421115,58.33333333333333,65.0,24.250440917107586,100.0,100.0,80.0,40.0,83.33500000000001,100.0,75.0,60.0,0.0,0,0,1,1,1,1,1,4,0,1,2,0,2,4536,1134,Semi-Perkotaan Sangat Maju,Semi-Perkotaan Sangat Maju - Industri,Desa Industrial Maju
3501040008,PACITAN,PACITAN,BALEHARJO,1,-8.1975013,2,111.105039,100.0,100.0,56.25,75.31404594524224,56.66666666666666,65.0,24.509803921568626,100.0,60.0,80.0,0.0,50.0,100.0,75.0,100.0,0.0,0,0,1,1,1,1,1,4,0,1,2,3,2,5100,1275,Semi-Perkotaan Sangat Maju,Semi-Perkotaan Sangat Maju - Industri,Desa Industrial Maju
3501040009,PACITAN,PACITAN,BANGUNSARI,1,-8.1962206,2,111.0854346,70.0,100.0,15.0,75.0,22.5,13.636363636363637,21.598272138228943,100.0,60.0,40.0,40.0,50.0,75.0,75.0,60.0,35.0,0,0,1,1,0,0,0,3,0,1,2,3,1,7408,1852,Perkotaan Sangat Maju,Perkotaan Sangat Maju - Jasa,Desa Urban Modern
3501040010,PACITAN,PACITAN,SEDENG,1,-8.1810505,2,111.0696017,100.0,100.0,15.0,75.0,30.0,3.636363636363636,14.745916515426496,100.0,100.0,0.0,0.0,100.0,100.0,75.0,60.0,65.0,1,0,0,1,1,0,1,2,0,1,2,3,0,4408,1102,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040011,PACITAN,PACITAN,SUMBERHARJO,1,-8.1867804,2,111.0928704,70.0,100.0,15.0,76.37834278892896,37.5,35.0,30.120481927710845,100.0,100.0,0.0,40.0,100.0,75.0,68.75,60.0,35.0,1,0,0,1,1,0,1,2,0,1,2,1,0,2324,581,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040012,PACITAN,PACITAN,PUCANGSEWU,1,-8.1907078,2,111.0994824,100.0,75.0,15.0,75.32739867553872,58.33333333333333,15.454545454545451,31.132461161079316,100.0,100.0,0.0,40.0,50.0,100.0,75.0,100.0,35.0,1,0,0,1,1,1,1,2,0,1,2,1,0,4892,1223,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040013,PACITAN,PACITAN,PACITAN,1,-8.1912802,2,111.1028207,100.0,100.0,40.0,75.48711506105093,30.0,52.27272727272727,44.26196269261963,100.0,100.0,80.0,40.0,100.0,100.0,75.0,100.0,35.0,0,0,1,1,0,0,0,4,0,1,2,2,1,4932,1233,Perkotaan Sangat Maju,Perkotaan Sangat Maju - Jasa,Desa Urban Modern
3501040014,PACITAN,PACITAN,TANJUNGSARI,1,-8.196944,2,111.1125514,100.0,100.0,40.0,76.96278715776403,30.0,20.0,26.552287581699343,100.0,60.0,0.0,0.0,50.0,87.5,75.0,60.0,35.0,0,0,1,1,0,0,0,2,0,1,3,2,1,4896,1224,Perkotaan Sangat Maju,Perkotaan Sangat Maju - Jasa,Desa Urban Modern
3501040015,PACITAN,PACITAN,MENADI,1,-8.1943841,2,111.1206136,100.0,100.0,15.0,75.8160500954834,100.0,52.27272727272727,13.586956521739133,100.0,100.0,0.0,0.0,100.0,100.0,75.0,60.0,0.0,0,0,1,1,1,1,1,2,0,1,2,1,2,2944,736,Semi-Perkotaan Sangat Maju,Semi-Perkotaan Sangat Maju - Industri,Desa Industrial Maju
3501040016,PACITAN,PACITAN,MENTORO,1,-8.1940164,2,111.1258047,70.0,100.0,15.0,75.0,37.5,65.0,31.47029204431017,100.0,100.0,0.0,40.0,100.0,100.0,75.0,60.0,35.0,1,0,0,1,1,0,1,2,0,1,2,1,0,3972,993,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040017,PACITAN,PACITAN,PURWOREJO,1,-8.1859429,2,111.131705,70.0,100.0,15.0,75.0,43.33333333333333,58.63636363636363,13.88888888888889,100.0,100.0,40.0,40.0,100.0,100.0,75.0,60.0,35.0,1,0,0,1,1,1,1,3,0,1,2,1,0,2520,630,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040018,PACITAN,PACITAN,NANGGUNGAN,1,-8.1823441,2,111.1169351,70.0,100.0,15.0,75.23664809703538,30.0,9.090909090909092,16.252955082742318,100.0,100.0,0.0,40.0,100.0,100.0,75.0,60.0,35.0,1,0,0,1,1,0,1,2,0,1,2,0,0,3384,846,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040019,PACITAN,PACITAN,WIDORO,1,-8.177499,2,111.1181278,70.0,100.0,21.25,75.28559813137223,50.83333333333333,15.454545454545451,10.699001426533524,100.0,100.0,80.0,40.0,50.0,75.0,75.0,60.0,30.0,1,0,0,1,1,1,1,4,0,0,2,1,0,2804,701,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040020,PACITAN,PACITAN,SEMANTEN,2,-8.1757476,2,111.1198544,70.0,100.0,33.75,75.38950250990648,43.33333333333333,57.72727272727272,17.023346303501945,100.0,100.0,0.0,0.0,100.0,100.0,75.0,0.0,65.0,1,0,0,0,1,1,1,2,0,1,2,0,0,2056,514,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040021,PACITAN,PACITAN,BANJARSARI,2,-8.1617668,2,111.1297077,70.0,100.0,21.25,75.0,50.83333333333333,46.81818181818181,19.63350785340314,100.0,100.0,0.0,40.0,83.33500000000001,87.5,75.0,0.0,35.0,1,0,0,0,1,1,1,2,0,1,2,1,0,2292,573,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040022,PACITAN,PACITAN,BOLOSINGO,2,-8.1494495,2,111.1243218,70.0,100.0,21.25,75.83592605466359,45.0,48.63636363636363,23.48643006263048,100.0,60.0,0.0,100.0,50.0,100.0,75.0,0.0,65.0,1,0,0,0,1,0,1,2,0,1,2,0,0,1916,479,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040023,PACITAN,PACITAN,SAMBONG,2,-8.1665134,2,111.1015681,70.0,100.0,6.25,75.37881606450696,43.33333333333333,42.27272727272727,9.460737937559127,100.0,100.0,40.0,0.0,50.0,100.0,75.0,0.0,65.0,1,0,0,0,1,1,1,3,0,1,2,0,0,4228,1057,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040024,PACITAN,PACITAN,PONGGOK,2,-8.148811,2,111.1065835,70.0,75.0,0.0,75.0,30.0,40.45454545454545,10.26272577996716,100.0,60.0,40.0,40.0,100.0,100.0,68.75,0.0,65.0,1,0,0,0,1,0,1,3,0,1,2,0,0,2436,609,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501040025,PACITAN,PACITAN,TAMBAKREJO,2,-8.147187,2,111.1348652,70.0,75.0,21.25,75.5679554328849,30.0,2.7272727272727275,19.50354609929078,100.0,100.0,0.0,40.0,100.0,75.0,75.0,0.0,0.0,1,0,0,0,1,0,1,2,0,1,2,0,0,2820,705,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501050001,PACITAN,KEBONAGUNG,PLUMBUNGAN,2,-8.2353089,2,111.1284568,100.0,100.0,6.25,75.4919024326583,43.33333333333333,38.63636363636363,12.285012285012286,100.0,60.0,0.0,0.0,100.0,87.5,81.25,0.0,65.0,1,0,0,0,1,1,1,2,0,1,2,0,0,1628,407,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501050002,PACITAN,KEBONAGUNG,KARANGNONGKO,2,-8.224339,2,111.1799768,100.0,100.0,18.75,75.56634876970844,50.83333333333333,65.0,8.84016973125884,100.0,100.0,0.0,0.0,50.0,62.5,81.25,0.0,65.0,1,0,0,0,1,1,1,2,0,1,2,0,0,2828,707,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501050003,PACITAN,KEBONAGUNG,KALIPELUS,2,-8.2481742,2,111.1541445,100.0,100.0,6.25,76.03375709169671,50.83333333333333,30.0,10.757314974182446,100.0,100.0,0.0,0.0,50.0,87.5,81.25,0.0,65.0,1,0,0,0,1,1,1,2,0,1,2,0,0,2324,581,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501050004,PACITAN,KEBONAGUNG,KATIPUGAL,2,-8.2458985,2,111.157565,100.0,100.0,0.0,75.59144546555962,50.83333333333333,65.0,9.231905465288037,100.0,60.0,40.0,0.0,50.0,87.5,81.25,0.0,65.0,1,0,0,0,1,1,1,3,0,1,2,0,0,2708,677,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501050005,PACITAN,KEBONAGUNG,KLESEM,2,-8.2468131,2,111.1737194,100.0,100.0,21.25,28.22332488520103,50.83333333333333,30.0,11.180679785330948,40.0,100.0,0.0,0.0,75.0,100.0,81.25,0.0,65.0,1,0,0,0,1,1,1,2,0,1,2,0,3,4472,1118,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Tertinggal Prioritas
3501050006,PACITAN,KEBONAGUNG,SIDOMULYO,2,-8.2405367,2,111.1843382,100.0,100.0,15.0,61.5293018169416,20.83333333333333,30.0,11.650219298245611,83.30830878535116,100.0,100.0,0.0,75.0,100.0,75.0,0.0,100.0,1,0,0,0,0,1,1,4,1,1,2,1,0,7296,1824,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
