NAMA_KAB,NAMA_KEC,NAMA_DESA
PACITAN,TULAKAN,GASANG
PACITAN,TULAKAN,NGILE
PACITAN,TULAKAN,BUBAKAN
PACITAN,TULAKAN,LOSARI
PACITAN,TULAKAN,NGUMBUL
PACITAN,TULAKAN,WONOSIDI
PACITAN,TULAKAN,KETRO
PACITAN,TULAKAN,KETRO HARJO
PACITAN,NGADIROJO,SIDOMULYO
PACITAN,NGADIROJO,HADIWARNO
PACITAN,NGADIROJO,TANJUNGPURO
PACITAN,NGADIROJO,HADILUWIH
PACITAN,NGADIROJO,PAGEREJO
PACITAN,NGADIROJO,WIYORO
PACITAN,NGADIROJO,NGADIROJO
PACITAN,NGADIROJO,BOGOHARJO
PACITAN,NGADIROJO,COKROKEMBANG
PACITAN,NGADIROJO,BODAG
PACITAN,NGADIROJO,TANJUNGLOR
PACITAN,NGADIROJO,NOGOSARI
PACITAN,NGADIROJO,CANGKRING
PACITAN,NGADIROJO,WONODADI KULON
PACITAN,NGADIROJO,WONODADI WETAN
PACITAN,NGADIROJO,WONOKARTO
PACITAN,NGADIROJO,WONOSOBO
PACITAN,NGADIROJO,WONOASRI
PACITAN,SUDIMORO,PAGER KIDUL
PACITAN,SUDIMORO,PAGER LOR
PACITAN,SUDIMORO,SUKOREJO
PACITAN,SUDIMORO,SUDIMORO
PACITAN,SUDIMORO,KETANGGUNG
PACITAN,SUDIMORO,KLEPU
PACITAN,SUDIMORO,SEMBOWO
PACITAN,SUDIMORO,KARANG MULYO
PACITAN,SUDIMORO,GUNUNG REJO
PACITAN,SUDIMORO,SUMBER REJO
PONOROGO,NGRAYUN,BAOSANKIDUL
PONOROGO,NGRAYUN,WONODADI
PONOROGO,NGRAYUN,SENDANG
PONOROGO,NGRAYUN,MRAYAN
PONOROGO,NGRAYUN,BINADE
PONOROGO,NGRAYUN,BAOSANLOR
PONOROGO,NGRAYUN,NGRAYUN
PONOROGO,NGRAYUN,TEMON
PONOROGO,NGRAYUN,SELUR
PONOROGO,NGRAYUN,CEPOKO
PONOROGO,NGRAYUN,GEDANGAN
PONOROGO,SLAHUNG,TUGUREJO
PONOROGO,SLAHUNG,SENEPO
PONOROGO,SLAHUNG,SLAHUNG
PONOROGO,SLAHUNG,CALUK
PONOROGO,SLAHUNG,BROTO
PONOROGO,SLAHUNG,MENGGARE
PONOROGO,SLAHUNG,KAMBENG
PONOROGO,SLAHUNG,WATES
PONOROGO,SLAHUNG,NGILO-ILO
PONOROGO,SLAHUNG,DURI
PONOROGO,SLAHUNG,NGLONING
PONOROGO,SLAHUNG,PLANCUNGAN
PONOROGO,SLAHUNG,JEBENG
PONOROGO,SLAHUNG,GALAK
PONOROGO,SLAHUNG,TRUNENG
PONOROGO,SLAHUNG,SIMO
PONOROGO,SLAHUNG,CRABAK
PONOROGO,SLAHUNG,MOJOPITU
PONOROGO,SLAHUNG,GUNDIK
PONOROGO,SLAHUNG,NAILAN
PONOROGO,SLAHUNG,GOMBANG
PONOROGO,SLAHUNG,JANTI
PONOROGO,BUNGKAL,PELEM
PONOROGO,BUNGKAL,KORIPAN
PONOROGO,BUNGKAL,BEKARE
PONOROGO,BUNGKAL,NAMBAK
PONOROGO,BUNGKAL,KALISAT
PONOROGO,BUNGKAL,MUNGGU
PONOROGO,BUNGKAL,PAGER
PONOROGO,BUNGKAL,BELANG
PONOROGO,BUNGKAL,BUNGKAL
PONOROGO,BUNGKAL,KETONGGO
PONOROGO,BUNGKAL,KUNTI
PONOROGO,BUNGKAL,BANCAR
PONOROGO,BUNGKAL,PADAS
PONOROGO,BUNGKAL,BUNGU
PONOROGO,BUNGKAL,KUPUK
PONOROGO,BUNGKAL,SAMBILAWANG
PONOROGO,BUNGKAL,KWAJON
PONOROGO,BUNGKAL,BEDIWETAN
PONOROGO,BUNGKAL,BEDIKULON
PONOROGO,SAMBIT,GAJAH
PONOROGO,SAMBIT,WRINGINANOM
PONOROGO,SAMBIT,NGADISANAN
PONOROGO,SAMBIT,MAGUWAN
PONOROGO,SAMBIT,NGLEWAN
PONOROGO,SAMBIT,BEDINGIN
PONOROGO,SAMBIT,BANCANGAN
PONOROGO,SAMBIT,CAMPUREJO
PONOROGO,SAMBIT,CAMPURSARI
PONOROGO,SAMBIT,BULU
PONOROGO,SAMBIT,SAMBIT
PONOROGO,SAMBIT,BESUKI
PONOROGO,SAMBIT,WILANGAN
PONOROGO,SAMBIT,BANGSALAN
PONOROGO,SAMBIT,KEMUNING
PONOROGO,SAMBIT,JRAKAH
PONOROGO,SAWOO,TUMPUK
PONOROGO,SAWOO,PANGKAL
PONOROGO,SAWOO,TUMPAKPELEM
PONOROGO,SAWOO,TEMPURAN
PONOROGO,SAWOO,SRITI
PONOROGO,SAWOO,TEMON
PONOROGO,SAWOO,SAWOO
PONOROGO,SAWOO,PRAYUNGAN
PONOROGO,SAWOO,TUGUREJO
PONOROGO,SAWOO,GROGOL
PONOROGO,SAWOO,KETRO
PONOROGO,SAWOO,KORI
PONOROGO,SAWOO,BONDRANG
PONOROGO,SAWOO,NGINDENG
PONOROGO,SOOKO,NGADIROJO
PONOROGO,SOOKO,KLEPU
PONOROGO,SOOKO,SURU
PONOROGO,SOOKO,SOOKO
PONOROGO,SOOKO,BEDOHO
PONOROGO,SOOKO,JURUG
PONOROGO,PUDAK,BANJARJO
PONOROGO,PUDAK,PUDAK WETAN
PONOROGO,PUDAK,PUDAK KULON
PONOROGO,PUDAK,KRISIK
PONOROGO,PUDAK,TAMBANG
PONOROGO,PUDAK,BARENG
PONOROGO,PULUNG,KARANGPATIHAN
PONOROGO,PULUNG,TEGALREJO
PONOROGO,PULUNG,BEDRUG
PONOROGO,PULUNG,WAGIRKIDUL
PONOROGO,PULUNG,SINGGAHAN
PONOROGO,PULUNG,PATIK
PONOROGO,PULUNG,PULUNG
PONOROGO,PULUNG,PULUNG MERDIKO
PONOROGO,PULUNG,SIDOHARJO
PONOROGO,PULUNG,WOTAN
PONOROGO,PULUNG,PLUNTURAN
PONOROGO,PULUNG,POMAHAN
PONOROGO,PULUNG,KESUGIHAN
PONOROGO,PULUNG,SERAG
PONOROGO,PULUNG,WAYANG
PONOROGO,PULUNG,MUNGGUNG
PONOROGO,PULUNG,BEKIRING
PONOROGO,PULUNG,BANARAN
PONOROGO,MLARAK,TUGU
PONOROGO,MLARAK,CANDI
PONOROGO,MLARAK,TOTOKAN
PONOROGO,MLARAK,NGRUKEM
PONOROGO,MLARAK,SIWALAN
PONOROGO,MLARAK,JORESAN
PONOROGO,MLARAK,NGLUMPANG
PONOROGO,MLARAK,GONTOR
PONOROGO,MLARAK,GANDU
PONOROGO,MLARAK,JABUNG
PONOROGO,MLARAK,BAJANG
PONOROGO,MLARAK,MLARAK
PONOROGO,MLARAK,SERANGAN
PONOROGO,MLARAK,SUREN
PONOROGO,MLARAK,KAPONAN
PONOROGO,SIMAN,DEMANGAN
PONOROGO,SIMAN,NGABAR
PONOROGO,SIMAN,MADUSARI
PONOROGO,SIMAN,BETON
PONOROGO,SIMAN,SEKARAN
PONOROGO,SIMAN,BRAHU
PONOROGO,SIMAN,KEPUH RUBUH
PONOROGO,SIMAN,SAWUH
PONOROGO,SIMAN,JARAK
PONOROGO,SIMAN,TRANJANG
PONOROGO,SIMAN,PIJERAN
PONOROGO,SIMAN,MANUK
PONOROGO,SIMAN,SIMAN
PONOROGO,SIMAN,PATIHAN KIDUL
PONOROGO,SIMAN,RONOSENTANAN
PONOROGO,SIMAN,TAJUG
PONOROGO,SIMAN,RONOWIJAYAN
PONOROGO,SIMAN,MANGUNSUMAN
PONOROGO,JETIS,NGASINAN
PONOROGO,JETIS,KUTUKULON
PONOROGO,JETIS,KUTUWETAN
PONOROGO,JETIS,KRADENAN
PONOROGO,JETIS,MOJOMATI
PONOROGO,JETIS,COPER
PONOROGO,JETIS,MOJOREJO
PONOROGO,JETIS,KARANGGEBANG
PONOROGO,JETIS,JETIS
PONOROGO,JETIS,TEGALSARI
PONOROGO,JETIS,WONOKETRO
PONOROGO,JETIS,JOSARI
PONOROGO,JETIS,TURI
PONOROGO,JETIS,WINONG
PONOROGO,BALONG,PANDAK
PONOROGO,BALONG,BULUKIDUL
PONOROGO,BALONG,BULAK
PONOROGO,BALONG,NGENDUT
PONOROGO,BALONG,KARANGPATIHAN
PONOROGO,BALONG,SUMBEREJO
PONOROGO,BALONG,NGUMPUL
PONOROGO,BALONG,NGRAKET
PONOROGO,BALONG,DADAPAN
PONOROGO,BALONG,SINGKIL
PONOROGO,BALONG,KARANGAN
PONOROGO,BALONG,BAJANG
PONOROGO,BALONG,BALONG
PONOROGO,BALONG,JALEN
PONOROGO,BALONG,KARANGMOJO
PONOROGO,BALONG,SEDARAT
PONOROGO,BALONG,PURWOREJO
PONOROGO,BALONG,TATUNG
PONOROGO,BALONG,MUNENG
PONOROGO,BALONG,NGAMPEL
PONOROGO,KAUMAN,TEGALOMBO
PONOROGO,KAUMAN,NONGKODONO
PONOROGO,KAUMAN,SUKOSARI
PONOROGO,KAUMAN,NGRANDU
PONOROGO,KAUMAN,NGLARANGAN
PONOROGO,KAUMAN,BRINGIN
PONOROGO,KAUMAN,PENGKOL
PONOROGO,KAUMAN,GABEL
PONOROGO,KAUMAN,CILUK
PONOROGO,KAUMAN,SEMANDING
PONOROGO,KAUMAN,TOSANAN
PONOROGO,KAUMAN,MARON
PONOROGO,KAUMAN,SOMOROTO
PONOROGO,KAUMAN,PLOSOJENAR
PONOROGO,KAUMAN,CARAT
PONOROGO,KAUMAN,KAUMAN
PONOROGO,JAMBON,KREBET
PONOROGO,JAMBON,JONGGOL
PONOROGO,JAMBON,POKO
PONOROGO,JAMBON,BRINGINAN
PONOROGO,JAMBON,SENDANG
PONOROGO,JAMBON,KARANGLO KIDUL
PONOROGO,JAMBON,BULU LOR
PONOROGO,JAMBON,JAMBON
PONOROGO,JAMBON,BLEMBEM
PONOROGO,JAMBON,PULOSARI
PONOROGO,JAMBON,MENANG
PONOROGO,JAMBON,SRANDIL
PONOROGO,JAMBON,SIDOHARJO
PONOROGO,BADEGAN,DAYAKAN
PONOROGO,BADEGAN,KARANGAN
PONOROGO,BADEGAN,TANJUNGGUNUNG
PONOROGO,BADEGAN,KARANGJOHO
PONOROGO,BADEGAN,TANJUNGREJO
PONOROGO,BADEGAN,BANDARALIM
PONOROGO,BADEGAN,KAPURAN
PONOROGO,BADEGAN,BADEGAN
PONOROGO,BADEGAN,WATUBONANG
PONOROGO,BADEGAN,BITING
PONOROGO,SAMPUNG,GELANGKULON
PONOROGO,SAMPUNG,KARANG WALUH
PONOROGO,SAMPUNG,GLINGGANG
PONOROGO,SAMPUNG,CARANG REJO
PONOROGO,SAMPUNG,TULUNG
PONOROGO,SAMPUNG,KUNTI
PONOROGO,SAMPUNG,PAGERUKIR
PONOROGO,SAMPUNG,POHIJO
PONOROGO,SAMPUNG,JENANGAN
PONOROGO,SAMPUNG,NGLURUP
PONOROGO,SAMPUNG,SAMPUNG
PONOROGO,SAMPUNG,RINGIN PUTIH
PONOROGO,SUKOREJO,MOROSARI
PONOROGO,SUKOREJO,SRAGI
PONOROGO,SUKOREJO,KALIMALANG
PONOROGO,SUKOREJO,KARANGLOLOR
PONOROGO,SUKOREJO,GANDUKEPUH
PONOROGO,SUKOREJO,NAMBANGREJO
PONOROGO,SUKOREJO,LENGKONG
PONOROGO,SUKOREJO,GOLAN
PONOROGO,SUKOREJO,BANGUNREJO
PONOROGO,SUKOREJO,SUKOREJO
PONOROGO,SUKOREJO,NAMPAN
PONOROGO,SUKOREJO,KRANGGAN
PONOROGO,SUKOREJO,GELANGLOR
PONOROGO,SUKOREJO,SIDOREJO
PONOROGO,SUKOREJO,GEGERAN
PONOROGO,SUKOREJO,PRAJEGAN
PONOROGO,SUKOREJO,SERANGAN
PONOROGO,SUKOREJO,KEDUNG BANTENG
PONOROGO,PONOROGO,PAJU
PONOROGO,PONOROGO,BROTONEGARAN
PONOROGO,PONOROGO,PAKUNDEN
PONOROGO,PONOROGO,KEPATIHAN
PONOROGO,PONOROGO,SURODIKRAMAN
PONOROGO,PONOROGO,PURBOSUMAN
PONOROGO,PONOROGO,TONATAN
PONOROGO,PONOROGO,BANGUNSARI
PONOROGO,PONOROGO,TAMAN ARUM
PONOROGO,PONOROGO,KAUMAN
PONOROGO,PONOROGO,TAMBAKBAYAN
PONOROGO,PONOROGO,PINGGIRSARI
PONOROGO,PONOROGO,MANGKUJAYAN
PONOROGO,PONOROGO,BANYUDONO
PONOROGO,PONOROGO,NOLOGATEN
PONOROGO,PONOROGO,COKROMENGGALAN
PONOROGO,PONOROGO,KENITEN
PONOROGO,PONOROGO,JINGGLONG
PONOROGO,PONOROGO,BEDURI
PONOROGO,BABADAN,KERTOSARI
PONOROGO,BABADAN,CEKOK
PONOROGO,BABADAN,PATIHAN WETAN
PONOROGO,BABADAN,KADIPATEN
PONOROGO,BABADAN,JAPAN
PONOROGO,BABADAN,GUPOLO
PONOROGO,BABADAN,POLOREJO
PONOROGO,BABADAN,BARENG
PONOROGO,BABADAN,NGUNUT
PONOROGO,BABADAN,SUKOSARI
PONOROGO,BABADAN,LEMBAH
PONOROGO,BABADAN,PONDOK
PONOROGO,BABADAN,BABADAN
PONOROGO,BABADAN,PURWOSARI
PONOROGO,BABADAN,TRISONO
PONOROGO,JENANGAN,MRICAN
PONOROGO,JENANGAN,SINGOSAREN
PONOROGO,JENANGAN,SETONO
PONOROGO,JENANGAN,PLALANGAN
PONOROGO,JENANGAN,NGRUPIT
PONOROGO,JENANGAN,SEDAH
PONOROGO,JENANGAN,PINTU
PONOROGO,JENANGAN,PANJENG
PONOROGO,JENANGAN,JIMBE
PONOROGO,JENANGAN,JENANGAN
PONOROGO,JENANGAN,SRATEN
PONOROGO,JENANGAN,KEMIRI
PONOROGO,JENANGAN,SEMANDING
PONOROGO,JENANGAN,TANJUNG SARI
PONOROGO,JENANGAN,NGLAYANG
PONOROGO,JENANGAN,PARINGAN
PONOROGO,JENANGAN,WATES
PONOROGO,NGEBEL,NGROGUNG
PONOROGO,NGEBEL,SAHANG
PONOROGO,NGEBEL,WAGIRLOR
PONOROGO,NGEBEL,TALUN
PONOROGO,NGEBEL,GONDOWIDO
PONOROGO,NGEBEL,PUPUS
PONOROGO,NGEBEL,NGEBEL
PONOROGO,NGEBEL,SEMPU
TRENGGALEK,PANGGUL,NGLEBENG
TRENGGALEK,PANGGUL,BANJAR
TRENGGALEK,PANGGUL,NGRAMBINGAN
TRENGGALEK,PANGGUL,NGRENCAK
TRENGGALEK,PANGGUL,PANGGUL
TRENGGALEK,PANGGUL,GAYAM
TRENGGALEK,PANGGUL,WONOCOYO
TRENGGALEK,PANGGUL,BESUKI
TRENGGALEK,PANGGUL,TERBIS
TRENGGALEK,PANGGUL,KARANGTENGAH
TRENGGALEK,PANGGUL,KERTOSONO
TRENGGALEK,PANGGUL,BODAG
TRENGGALEK,PANGGUL,BARANG
TRENGGALEK,PANGGUL,SAWAHAN
TRENGGALEK,PANGGUL,MANGGIS
TRENGGALEK,PANGGUL,TANGKIL
TRENGGALEK,PANGGUL,DEPOK
TRENGGALEK,MUNJUNGAN,NGULUNGWETAN
TRENGGALEK,MUNJUNGAN,NGULUNGKULON
TRENGGALEK,MUNJUNGAN,SOBO
TRENGGALEK,MUNJUNGAN,CRAKEN
TRENGGALEK,MUNJUNGAN,MASARAN
TRENGGALEK,MUNJUNGAN,MUNJUNGAN
TRENGGALEK,MUNJUNGAN,TAWING
TRENGGALEK,MUNJUNGAN,BENDOROTO
TRENGGALEK,MUNJUNGAN,BANGUN
TRENGGALEK,MUNJUNGAN,KARANGTURI
TRENGGALEK,MUNJUNGAN,BESUKI
TRENGGALEK,WATULIMO,KARANGGANDU
TRENGGALEK,WATULIMO,PRIGI
TRENGGALEK,WATULIMO,TASIKMADU
TRENGGALEK,WATULIMO,WATULIMO
TRENGGALEK,WATULIMO,MARGOMULYO
TRENGGALEK,WATULIMO,SAWAHAN
TRENGGALEK,WATULIMO,DUKUH
TRENGGALEK,WATULIMO,SLAWE
TRENGGALEK,WATULIMO,GEMAHARJO
TRENGGALEK,WATULIMO,PAKEL
TRENGGALEK,WATULIMO,NGEMBEL
TRENGGALEK,WATULIMO,WATUAGUNG
TRENGGALEK,KAMPAK,NGADIMULYO
TRENGGALEK,KAMPAK,KARANGREJO
TRENGGALEK,KAMPAK,SENDEN
TRENGGALEK,KAMPAK,SUGIHAN
TRENGGALEK,KAMPAK,BENDOAGUNG
TRENGGALEK,KAMPAK,BOGORAN
TRENGGALEK,KAMPAK,TIMAHAN
TRENGGALEK,DONGKO,WATUAGUNG
TRENGGALEK,DONGKO,PANDEAN
TRENGGALEK,DONGKO,SALAMWATES
TRENGGALEK,DONGKO,NGERDANI
TRENGGALEK,DONGKO,PETUNG
TRENGGALEK,DONGKO,CAKUL
TRENGGALEK,DONGKO,SIKI
TRENGGALEK,DONGKO,DONGKO
TRENGGALEK,DONGKO,SUMBERBENING
TRENGGALEK,DONGKO,PRINGAPUS
TRENGGALEK,PULE,SIDOMULYO
TRENGGALEK,PULE,PUYUNG
TRENGGALEK,PULE,JOHO
TRENGGALEK,PULE,KEMBANGAN
TRENGGALEK,PULE,PAKEL
TRENGGALEK,PULE,PULE
TRENGGALEK,PULE,JOMBOK
TRENGGALEK,PULE,TANGGARAN
TRENGGALEK,PULE,KARANGANYAR
TRENGGALEK,PULE,SUKOKIDUL
TRENGGALEK,KARANGAN,SUKOWETAN
TRENGGALEK,KARANGAN,JATIPRAHU
TRENGGALEK,KARANGAN,SUMBERINGIN
TRENGGALEK,KARANGAN,KEDUNGSIGIT
TRENGGALEK,KARANGAN,JATI
TRENGGALEK,KARANGAN,KAYEN
TRENGGALEK,KARANGAN,KARANGAN
TRENGGALEK,KARANGAN,KERJO
TRENGGALEK,KARANGAN,SALAMREJO
TRENGGALEK,KARANGAN,BULUAGUNG
TRENGGALEK,KARANGAN,SUMBER
TRENGGALEK,KARANGAN,NGENTRONG
TRENGGALEK,SURUH,NGRANDU
TRENGGALEK,SURUH,PURU
TRENGGALEK,SURUH,WONOKERTO
TRENGGALEK,SURUH,NGLEBO
TRENGGALEK,SURUH,GAMPING
TRENGGALEK,SURUH,SURUH
TRENGGALEK,SURUH,MLINJON
TRENGGALEK,GANDUSARI,NGRAYUNG
TRENGGALEK,GANDUSARI,JAJAR
TRENGGALEK,GANDUSARI,WONOREJO
TRENGGALEK,GANDUSARI,SUKOREJO
TRENGGALEK,GANDUSARI,GANDUSARI
TRENGGALEK,GANDUSARI,WONOANTI
TRENGGALEK,GANDUSARI,WIDORO
TRENGGALEK,GANDUSARI,KARANGANYAR
TRENGGALEK,GANDUSARI,MELIS
TRENGGALEK,GANDUSARI,KRANDEGAN
TRENGGALEK,GANDUSARI,SUKORAME
TRENGGALEK,DURENAN,NGADISUKO
TRENGGALEK,DURENAN,DURENAN
TRENGGALEK,DURENAN,PANDEAN
TRENGGALEK,DURENAN,PANGGUNGSARI
TRENGGALEK,DURENAN,MALASAN
TRENGGALEK,DURENAN,KARANGANOM
TRENGGALEK,DURENAN,BARUHARJO
TRENGGALEK,DURENAN,KAMULAN
TRENGGALEK,DURENAN,SUMBERGAYAM
TRENGGALEK,DURENAN,PAKIS
TRENGGALEK,DURENAN,SEMARUM
TRENGGALEK,DURENAN,KENDALREJO
TRENGGALEK,DURENAN,GADOR
TRENGGALEK,DURENAN,SUMBEREJO
TRENGGALEK,POGALAN,NGADIREJO
TRENGGALEK,POGALAN,KEDUNGLURAH
TRENGGALEK,POGALAN,BENDOREJO
TRENGGALEK,POGALAN,WONOCOYO
TRENGGALEK,POGALAN,NGETAL
TRENGGALEK,POGALAN,NGADIRENGGO
TRENGGALEK,POGALAN,GEMBLEB
TRENGGALEK,POGALAN,NGULANWETAN
TRENGGALEK,POGALAN,NGULANKULON
TRENGGALEK,POGALAN,POGALAN
TRENGGALEK,TRENGGALEK,KARANGSOKO
TRENGGALEK,TRENGGALEK,SAMBIREJO
TRENGGALEK,TRENGGALEK,KELUTAN
TRENGGALEK,TRENGGALEK,TAMANAN
TRENGGALEK,TRENGGALEK,NGANTRU
TRENGGALEK,TRENGGALEK,SUMBERGEDONG
TRENGGALEK,TRENGGALEK,SURODAKAN
TRENGGALEK,TRENGGALEK,REJOWINANGUN
TRENGGALEK,TRENGGALEK,PARAKAN
TRENGGALEK,TRENGGALEK,NGARES
TRENGGALEK,TRENGGALEK,SUMBERDADI
TRENGGALEK,TRENGGALEK,SUKOSARI
TRENGGALEK,TRENGGALEK,DAWUHAN
TRENGGALEK,TUGU,DUREN
TRENGGALEK,TUGU,NGEPEH
TRENGGALEK,TUGU,TUMPUK
TRENGGALEK,TUGU,GONDANG
TRENGGALEK,TUGU,NGLONGSOR
TRENGGALEK,TUGU,BANARAN
TRENGGALEK,TUGU,WINONG
TRENGGALEK,TUGU,SUKOREJO
TRENGGALEK,TUGU,JAMBU
TRENGGALEK,TUGU,NGLINGGIS
TRENGGALEK,TUGU,GADING
TRENGGALEK,TUGU,PUCANGANAK
TRENGGALEK,TUGU,DERMOSARI
TRENGGALEK,TUGU,TEGAREN
TRENGGALEK,TUGU,PRAMBON
TRENGGALEK,BENDUNGAN,MASARAN
TRENGGALEK,BENDUNGAN,SENGON
TRENGGALEK,BENDUNGAN,SUMURUP
TRENGGALEK,BENDUNGAN,SRABAH
TRENGGALEK,BENDUNGAN,DEPOK
TRENGGALEK,BENDUNGAN,SURENLOR
TRENGGALEK,BENDUNGAN,DOMPYONG
TRENGGALEK,BENDUNGAN,BOTOPUTIH
TULUNGAGUNG,BESUKI,SEDAYUGUNUNG
TULUNGAGUNG,BESUKI,KEBOIRENG
TULUNGAGUNG,BESUKI,BESUKI
TULUNGAGUNG,BESUKI,BESOLE
TULUNGAGUNG,BESUKI,TANGGULWELAHAN
TULUNGAGUNG,BESUKI,TANGGULTURUS
TULUNGAGUNG,BESUKI,TANGGULKUNDUNG
