IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,jumlah_bts,jumlah_operator,sinyal_telepon,sinyal_internet,ada_bts,ada_operator,ada_sinyal_telepon,ada_internet,skor_bts,skor_operator,skor_infrastruktur_telkom,ada_warnet,komputer_desa,internet_kantordesa,sid,ada_komputer,ada_internet_desa,ada_sid,skor_digitalisasi_pemdes,skor_digital_readiness,kategori_digital,cluster,label
3501030012,PACITAN,PRINGKUKU,PELEM,1,-8.1244379,2,111.070612,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,100.0,100,100,100,100.0,73.57142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501030013,PACITAN,PRINGKUKU,TAMANASRI,1,-8.114741,2,111.0734071,2,4,75,100.0,100,100,100,100,50.0,57.14285714285714,71.42857142857143,0,100,100,100.0,100,100,100,100.0,78.57142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040001,PACITAN,PACITAN,SIDOHARJO,1,-8.1961533,2,111.0947963,2,4,75,100.0,100,100,100,100,50.0,57.14285714285714,71.42857142857143,0,100,100,100.0,100,100,100,100.0,78.57142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040002,PACITAN,PACITAN,PLOSO,1,-8.2031669,2,111.099281,2,5,100,100.0,100,100,100,100,50.0,71.42857142857143,81.78571428571428,100,100,100,0.0,100,100,0,70.0,77.71428571428572,Tinggi,4,"Infrastruktur Maju, SID minim"
3501040003,PACITAN,PACITAN,KEMBANG,1,-8.2125009,2,111.1157383,5,4,100,100.0,100,100,100,100,100.0,57.14285714285714,91.42857142857143,100,100,100,0.0,100,100,0,70.0,81.57142857142858,Tinggi,4,"Infrastruktur Maju, SID minim"
3501040004,PACITAN,PACITAN,SUKOHARJO,1,-8.212684,2,111.1323042,0,4,100,100.0,0,100,100,100,0.0,57.14285714285714,66.42857142857143,0,100,100,100.0,100,100,100,100.0,76.57142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040005,PACITAN,PACITAN,KAYEN,1,-8.2116038,2,111.1380285,0,4,100,100.0,0,100,100,100,0.0,57.14285714285714,66.42857142857143,0,100,100,100.0,100,100,100,100.0,76.57142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040006,PACITAN,PACITAN,SIRNOBOYO,1,-8.2014931,2,111.1152786,1,4,100,100.0,100,100,100,100,25.0,57.14285714285714,72.67857142857143,100,100,100,100.0,100,100,100,100.0,89.07142857142857,Tinggi,0,Digital Lengkap
3501040007,PACITAN,PACITAN,ARJOWINANGUN,1,-8.1988454,2,111.1182216,3,4,100,100.0,100,100,100,100,75.0,57.14285714285714,85.17857142857143,0,100,100,100.0,100,100,100,100.0,84.07142857142858,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040008,PACITAN,PACITAN,BALEHARJO,1,-8.1975013,2,111.105039,0,4,100,100.0,0,100,100,100,0.0,57.14285714285714,66.42857142857143,0,100,100,100.0,100,100,100,100.0,76.57142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040009,PACITAN,PACITAN,BANGUNSARI,1,-8.1962206,2,111.0854346,4,4,100,100.0,100,100,100,100,100.0,57.14285714285714,91.42857142857143,100,100,100,0.0,100,100,0,70.0,81.57142857142858,Tinggi,4,"Infrastruktur Maju, SID minim"
3501040010,PACITAN,PACITAN,SEDENG,1,-8.1810505,2,111.0696017,1,5,100,100.0,100,100,100,100,25.0,71.42857142857143,75.53571428571428,100,100,100,100.0,100,100,100,100.0,90.21428571428571,Tinggi,0,Digital Lengkap
3501040011,PACITAN,PACITAN,SUMBERHARJO,1,-8.1867804,2,111.0928704,2,5,75,100.0,100,100,100,100,50.0,71.42857142857143,74.28571428571428,0,100,100,100.0,100,100,100,100.0,79.71428571428571,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040012,PACITAN,PACITAN,PUCANGSEWU,1,-8.1907078,2,111.0994824,0,5,100,100.0,0,100,100,100,0.0,71.42857142857143,69.28571428571428,0,100,100,100.0,100,100,100,100.0,77.71428571428571,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040013,PACITAN,PACITAN,PACITAN,1,-8.1912802,2,111.1028207,1,5,100,100.0,100,100,100,100,25.0,71.42857142857143,75.53571428571428,100,100,100,0.0,100,100,0,70.0,75.21428571428571,Tinggi,4,"Infrastruktur Maju, SID minim"
3501040014,PACITAN,PACITAN,TANJUNGSARI,1,-8.196944,2,111.1125514,1,5,100,100.0,100,100,100,100,25.0,71.42857142857143,75.53571428571428,100,100,100,0.0,100,100,0,70.0,75.21428571428571,Tinggi,4,"Infrastruktur Maju, SID minim"
3501040015,PACITAN,PACITAN,MENADI,1,-8.1943841,2,111.1206136,0,5,100,100.0,0,100,100,100,0.0,71.42857142857143,69.28571428571428,100,100,100,100.0,100,100,100,100.0,87.71428571428571,Tinggi,0,Digital Lengkap
3501040016,PACITAN,PACITAN,MENTORO,1,-8.1940164,2,111.1258047,2,4,100,100.0,100,100,100,100,50.0,57.14285714285714,78.92857142857143,100,100,100,100.0,100,100,100,100.0,91.57142857142857,Tinggi,0,Digital Lengkap
3501040017,PACITAN,PACITAN,PURWOREJO,1,-8.1859429,2,111.131705,2,4,100,100.0,100,100,100,100,50.0,57.14285714285714,78.92857142857143,0,100,100,100.0,100,100,100,100.0,81.57142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040018,PACITAN,PACITAN,NANGGUNGAN,1,-8.1823441,2,111.1169351,1,4,100,100.0,100,100,100,100,25.0,57.14285714285714,72.67857142857143,0,100,100,100.0,100,100,100,100.0,79.07142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040019,PACITAN,PACITAN,WIDORO,1,-8.177499,2,111.1181278,1,4,100,100.0,100,100,100,100,25.0,57.14285714285714,72.67857142857143,0,100,100,100.0,100,100,100,100.0,79.07142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501040020,PACITAN,PACITAN,SEMANTEN,2,-8.1757476,2,111.1198544,1,4,100,100.0,100,100,100,100,25.0,57.14285714285714,72.67857142857143,100,100,100,100.0,100,100,100,100.0,89.07142857142857,Tinggi,0,Digital Lengkap
3501040021,PACITAN,PACITAN,BANJARSARI,2,-8.1617668,2,111.1297077,2,4,100,100.0,100,100,100,100,50.0,57.14285714285714,78.92857142857143,100,100,100,100.0,100,100,100,100.0,91.57142857142857,Tinggi,0,Digital Lengkap
3501040022,PACITAN,PACITAN,BOLOSINGO,2,-8.1494495,2,111.1243218,0,4,100,100.0,0,100,100,100,0.0,57.14285714285714,66.42857142857143,100,100,100,100.0,100,100,100,100.0,86.57142857142857,Tinggi,0,Digital Lengkap
3501040023,PACITAN,PACITAN,SAMBONG,2,-8.1665134,2,111.1015681,0,3,75,100.0,0,100,100,100,0.0,42.857142857142854,56.07142857142857,100,100,100,100.0,100,100,100,100.0,82.42857142857143,Tinggi,0,Digital Lengkap
3501040024,PACITAN,PACITAN,PONGGOK,2,-8.148811,2,111.1065835,2,4,75,100.0,100,100,100,100,50.0,57.14285714285714,71.42857142857143,100,100,100,100.0,100,100,100,100.0,88.57142857142857,Tinggi,0,Digital Lengkap
3501040025,PACITAN,PACITAN,TAMBAKREJO,2,-8.147187,2,111.1348652,1,3,75,100.0,100,100,100,100,25.0,42.857142857142854,62.32142857142857,100,100,100,100.0,100,100,100,100.0,84.92857142857143,Tinggi,0,Digital Lengkap
3501050001,PACITAN,KEBONAGUNG,PLUMBUNGAN,2,-8.2353089,2,111.1284568,1,3,100,100.0,100,100,100,100,25.0,42.857142857142854,69.82142857142857,100,100,100,100.0,100,100,100,100.0,87.92857142857143,Tinggi,0,Digital Lengkap
3501050002,PACITAN,KEBONAGUNG,KARANGNONGKO,2,-8.224339,2,111.1799768,0,2,75,100.0,0,100,100,100,0.0,28.57142857142857,53.214285714285715,100,100,100,100.0,100,100,100,100.0,81.28571428571429,Tinggi,0,Digital Lengkap
3501050003,PACITAN,KEBONAGUNG,KALIPELUS,2,-8.2481742,2,111.1541445,1,2,75,100.0,100,100,100,100,25.0,28.57142857142857,59.464285714285715,100,100,100,100.0,100,100,100,100.0,83.78571428571429,Tinggi,0,Digital Lengkap
3501050004,PACITAN,KEBONAGUNG,KATIPUGAL,2,-8.2458985,2,111.157565,0,2,75,100.0,0,100,100,100,0.0,28.57142857142857,53.214285714285715,100,100,100,50.0,100,100,100,85.0,73.78571428571429,Sedang,0,Digital Lengkap
3501050005,PACITAN,KEBONAGUNG,KLESEM,2,-8.2468131,2,111.1737194,1,2,75,100.0,100,100,100,100,25.0,28.57142857142857,59.464285714285715,0,100,100,100.0,100,100,100,100.0,73.78571428571429,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501050006,PACITAN,KEBONAGUNG,SIDOMULYO,2,-8.2405367,2,111.1843382,1,3,75,100.0,100,100,100,100,25.0,42.857142857142854,62.32142857142857,100,100,50,100.0,100,100,100,80.0,74.92857142857143,Sedang,3,Digitalisasi Rendah
3501050007,PACITAN,KEBONAGUNG,WORAWARI,2,-8.2382732,2,111.2212482,0,3,75,100.0,0,100,100,100,0.0,42.857142857142854,56.07142857142857,100,100,100,100.0,100,100,100,100.0,82.42857142857143,Tinggi,0,Digital Lengkap
3501050008,PACITAN,KEBONAGUNG,MANTREN,2,-8.2289332,2,111.1935818,0,3,75,100.0,0,100,100,100,0.0,42.857142857142854,56.07142857142857,0,100,100,100.0,100,100,100,100.0,72.42857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501050009,PACITAN,KEBONAGUNG,GAWANG,2,-8.2293913,2,111.1812119,1,3,75,100.0,100,100,100,100,25.0,42.857142857142854,62.32142857142857,0,100,100,100.0,100,100,100,100.0,74.92857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501050010,PACITAN,KEBONAGUNG,KARANGANYAR,2,-8.2294118,2,111.1636188,0,3,75,100.0,0,100,100,100,0.0,42.857142857142854,56.07142857142857,0,100,100,100.0,100,100,100,100.0,72.42857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501050011,PACITAN,KEBONAGUNG,KEBONAGUNG,1,-8.2233571,2,111.1575572,0,2,25,60.0,0,100,100,100,0.0,28.57142857142857,28.214285714285715,0,100,100,100.0,100,100,100,100.0,61.285714285714285,Sedang,1,Infrastruktur Lemah
3501050012,PACITAN,KEBONAGUNG,PURWOASRI,1,-8.2143123,2,111.1498361,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,50.0,100,100,100,85.0,66.07142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501050013,PACITAN,KEBONAGUNG,BANJARJO,1,-8.2129625,2,111.1575321,1,6,100,100.0,100,100,100,100,25.0,85.71428571428571,78.39285714285714,0,100,100,100.0,100,100,100,100.0,81.35714285714286,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501050014,PACITAN,KEBONAGUNG,GEMBUK,2,-8.2112827,2,111.2102703,1,6,75,100.0,100,100,100,100,25.0,85.71428571428571,70.89285714285714,0,100,100,100.0,100,100,100,100.0,78.35714285714286,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501050015,PACITAN,KEBONAGUNG,SANGGRAHAN,2,-8.19009002,2,111.1922567,0,3,25,60.0,0,100,100,100,0.0,42.857142857142854,31.07142857142857,0,100,100,100.0,100,100,100,100.0,62.42857142857143,Sedang,1,Infrastruktur Lemah
3501050016,PACITAN,KEBONAGUNG,PUNJUNG,2,-8.197545359,2,111.168786,0,2,75,100.0,0,100,100,100,0.0,28.57142857142857,53.214285714285715,0,100,100,100.0,100,100,100,100.0,71.28571428571429,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501050017,PACITAN,KEBONAGUNG,WONOGONDO,2,-8.188989416,2,111.1551376,0,5,75,100.0,0,100,100,100,0.0,71.42857142857143,61.785714285714285,0,100,100,100.0,100,100,100,100.0,74.71428571428572,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501050018,PACITAN,KEBONAGUNG,KETEPUNG,2,-8.1760359,2,111.1532913,2,5,75,100.0,100,100,100,100,50.0,71.42857142857143,74.28571428571428,0,100,100,100.0,100,100,100,100.0,79.71428571428571,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501050019,PACITAN,KEBONAGUNG,KETRO,1,-8.168936974,2,111.1988326,0,3,75,100.0,0,100,100,100,0.0,42.857142857142854,56.07142857142857,0,100,100,100.0,100,100,100,100.0,72.42857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501060001,PACITAN,ARJOSARI,MLATI,2,-8.1155699,2,111.1183777,1,5,75,100.0,100,100,100,100,25.0,71.42857142857143,68.03571428571428,0,100,100,100.0,100,100,100,100.0,77.21428571428571,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501060002,PACITAN,ARJOSARI,SEDAYU,1,-8.116847,2,111.1323914,1,3,75,100.0,100,100,100,100,25.0,42.857142857142854,62.32142857142857,0,100,100,100.0,100,100,100,100.0,74.92857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501060003,PACITAN,ARJOSARI,TREMAS,1,-8.1174515,2,111.1449762,0,3,75,100.0,0,100,100,100,0.0,42.857142857142854,56.07142857142857,0,100,100,100.0,100,100,100,100.0,72.42857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501060004,PACITAN,ARJOSARI,ARJOSARI,1,-8.1250011,2,111.1492911,0,3,75,100.0,0,100,100,100,0.0,42.857142857142854,56.07142857142857,0,100,100,100.0,100,100,100,100.0,72.42857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501060005,PACITAN,ARJOSARI,GUNUNGSARI,1,-8.1402345,2,111.1422161,1,5,100,100.0,100,100,100,100,25.0,71.42857142857143,75.53571428571428,0,100,100,100.0,100,100,100,100.0,80.21428571428571,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501060006,PACITAN,ARJOSARI,PAGUTAN,2,-8.1332851,2,111.1526547,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,100.0,100,100,100,100.0,73.57142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501060007,PACITAN,ARJOSARI,GEMBONG,2,-8.1235273,2,111.1601337,2,4,75,100.0,100,100,100,100,50.0,57.14285714285714,71.42857142857143,0,100,100,100.0,100,100,100,100.0,78.57142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501060008,PACITAN,ARJOSARI,BORANG,2,-8.1216759,2,111.1755743,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,100.0,100,100,100,100.0,73.57142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501060009,PACITAN,ARJOSARI,GEGERAN,2,-8.1129272,2,111.1872315,0,2,25,60.0,0,100,100,100,0.0,28.57142857142857,28.214285714285715,0,100,100,100.0,100,100,100,100.0,61.285714285714285,Sedang,1,Infrastruktur Lemah
3501060010,PACITAN,ARJOSARI,KEDUNGBENDO,1,-8.0950428,2,111.2014984,0,3,25,60.0,0,100,100,100,0.0,42.857142857142854,31.07142857142857,0,100,100,100.0,100,100,100,100.0,62.42857142857143,Sedang,1,Infrastruktur Lemah
3501060011,PACITAN,ARJOSARI,MANGUNHARJO,1,-8.0934343,2,111.2062158,0,5,75,100.0,0,100,100,100,0.0,71.42857142857143,61.785714285714285,0,100,100,100.0,100,100,100,100.0,74.71428571428572,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501060012,PACITAN,ARJOSARI,JETIS KIDUL,2,-8.0904707,2,111.1943754,1,3,75,100.0,100,100,100,100,25.0,42.857142857142854,62.32142857142857,0,100,100,100.0,100,100,100,100.0,74.92857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501070003,PACITAN,NAWANGAN,SEMPU,2,-7.9913983,2,111.2024647,0,2,100,100.0,0,100,100,100,0.0,28.57142857142857,60.714285714285715,0,100,100,100.0,100,100,100,100.0,74.28571428571429,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501060013,PACITAN,ARJOSARI,TEMON,2,-8.0644529,2,111.1669089,0,3,25,60.0,0,100,100,100,0.0,42.857142857142854,31.07142857142857,0,100,100,100.0,100,100,100,100.0,62.42857142857143,Sedang,1,Infrastruktur Lemah
3501060014,PACITAN,ARJOSARI,JATIMALANG,1,-8.1101949,2,111.1502545,1,5,75,100.0,100,100,100,100,25.0,71.42857142857143,68.03571428571428,0,100,100,100.0,100,100,100,100.0,77.21428571428571,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501060015,PACITAN,ARJOSARI,GAYUHAN,2,-8.1049413,2,111.1431801,0,3,75,100.0,0,100,100,100,0.0,42.857142857142854,56.07142857142857,0,100,100,100.0,100,100,100,100.0,72.42857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501060016,PACITAN,ARJOSARI,KARANGREJO,2,-8.0878089,2,111.1371356,0,2,25,60.0,0,100,100,100,0.0,28.57142857142857,28.214285714285715,0,100,100,100.0,100,100,100,100.0,61.285714285714285,Sedang,1,Infrastruktur Lemah
3501060017,PACITAN,ARJOSARI,KARANGGEDE,2,-8.0608762,2,111.1384919,0,2,25,60.0,0,100,100,100,0.0,28.57142857142857,28.214285714285715,0,100,100,100.0,100,100,100,100.0,61.285714285714285,Sedang,1,Infrastruktur Lemah
3501070001,PACITAN,NAWANGAN,GONDANG,2,-8.0397785,2,111.1869862,0,3,75,60.0,0,100,100,100,0.0,42.857142857142854,46.07142857142857,0,100,100,100.0,100,100,100,100.0,68.42857142857143,Sedang,1,Infrastruktur Lemah
