IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,total_kk,total_penduduk,skor_akses_dasar,skor_konektivitas,skor_pengelolaan_lingkungan,skor_kesejahteraan,skor_kelembagaan_ekonomi,skor_produktivitas_ekonomi,skor_akses_kesehatan,skor_kualitas_kesehatan,skor_program_kesehatan,skor_pendidikan_dasar,skor_pendidikan_lanjut,skor_literasi_masyarakat,skor_kualitas_lingkungan,skor_ketahanan_bencana,skor_digital_readiness,sektor_pertanian,sektor_industri,sektor_jasa,ada_pades,ada_bumdes,ada_sid,kelengkapan_pendidikan,ada_vokasi,ada_mitigasi_bencana,ada_literasi_digital,cluster,label
3501010011,PACITAN,DONOROJO,DONOROJO,1,-8.0913555,2,110.9879505,1652,6608,100.0,93.75,48.75,83.27814634733339,43.33333333333333,30.0,25.72639225181598,100.0,60.0,100.0,60.0,0.0,100.0,50.0,60.0,1,0,0,1,1,1,4,1,0,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501010012,PACITAN,DONOROJO,BELAH,1,-8.0887199,2,110.9845216,1425,5700,100.0,100.0,6.25,89.27604243241007,86.66666666666666,9.090909090909092,13.157894736842104,100.0,60.0,100.0,20.0,0.0,100.0,50.0,68.75,1,0,0,1,1,1,3,1,0,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501020001,PACITAN,PUNUNG,BOMO,2,-8.1721352,2,110.9738654,923,3692,100.0,100.0,6.25,85.35387493633802,58.33333333333333,16.36363636363636,6.77139761646804,100.0,60.0,100.0,80.0,40.0,50.0,75.0,68.75,1,0,0,1,1,1,4,0,1,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501020002,PACITAN,PUNUNG,SOOKA,2,-8.152704,2,111.0221679,762,3048,100.0,100.0,0.0,84.57334995576856,65.83333333333333,69.77272727272728,16.404199475065617,100.0,60.0,100.0,80.0,40.0,50.0,75.0,68.75,1,0,0,1,1,1,4,0,1,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501020003,PACITAN,PUNUNG,PUNUNG,1,-8.1380544,2,111.0168724,2158,8632,100.0,100.0,85.0,95.91458271534835,43.33333333333333,65.0,24.907321594068584,96.4729327183133,60.0,100.0,80.0,100.0,50.0,37.5,68.75,1,0,0,1,1,1,4,0,0,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501020004,PACITAN,PUNUNG,MENDOLO KIDUL,2,-8.130188,2,111.032582,532,2128,100.0,100.0,6.25,86.74236014995749,73.33333333333333,65.0,14.097744360902254,100.0,100.0,100.0,0.0,0.0,100.0,75.0,68.75,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501020005,PACITAN,PUNUNG,MENDOLO LOR,2,-8.1203589,2,111.0286755,1037,4148,70.0,100.0,33.75,88.6643130822523,30.0,39.54545454545455,8.437801350048215,100.0,100.0,100.0,80.0,0.0,100.0,75.0,68.75,1,0,0,1,0,1,4,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501020006,PACITAN,PUNUNG,KENDAL,2,-8.1407114,2,111.0027084,459,1836,100.0,100.0,41.25,93.59743609275361,45.0,45.0,24.509803921568626,100.0,100.0,100.0,0.0,40.0,50.0,100.0,68.75,1,0,0,1,0,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501020007,PACITAN,PUNUNG,PITON,2,-8.153707,2,111.0055173,586,2344,100.0,100.0,6.25,80.94308538051341,43.33333333333333,55.0,19.197952218430036,100.0,60.0,100.0,0.0,40.0,100.0,75.0,68.75,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501020008,PACITAN,PUNUNG,WARENG,2,-8.1160935,2,110.9916086,645,2580,100.0,100.0,21.25,64.46130340973102,43.33333333333333,49.54545454545455,9.689922480620154,100.0,60.0,100.0,0.0,40.0,50.0,100.0,68.75,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501020009,PACITAN,PUNUNG,MANTREN,2,-8.1247162,2,111.0014536,974,3896,100.0,100.0,6.25,81.89665195014729,43.33333333333333,68.86363636363636,10.26694045174538,100.0,100.0,100.0,0.0,40.0,100.0,50.0,68.75,1,0,0,1,1,1,2,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501020010,PACITAN,PUNUNG,PLOSO,2,-8.0823601,2,111.0598992,1878,7512,70.0,100.0,0.0,90.61093663442144,43.33333333333333,16.36363636363636,4.659211927582534,100.0,100.0,100.0,80.0,35.0,100.0,75.0,68.75,1,0,0,1,1,1,4,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501020011,PACITAN,PUNUNG,GONDOSARI,1,-8.1104035,2,111.0796538,1540,6160,70.0,100.0,6.25,80.91703354918124,43.33333333333333,44.09090909090909,16.233766233766232,100.0,100.0,100.0,40.0,100.0,50.0,75.0,68.75,1,0,0,1,1,1,3,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501020012,PACITAN,PUNUNG,TINATAR,2,-8.08465,2,111.0920117,920,3680,100.0,100.0,81.25,71.25109619474478,58.33333333333333,44.09090909090909,6.793478260869565,100.0,60.0,100.0,60.0,0.0,100.0,75.0,68.75,1,0,0,1,1,1,4,1,1,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501020013,PACITAN,PUNUNG,KEBONSARI,2,-8.0658417,2,111.0803017,593,2372,100.0,100.0,0.0,90.0884423830486,65.83333333333333,45.0,12.647554806070826,100.0,100.0,100.0,0.0,40.0,50.0,75.0,56.25,1,0,0,1,1,1,2,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030001,PACITAN,PRINGKUKU,WATU KARUNG,2,-8.2242796,2,110.9786799,564,2256,100.0,100.0,75.0,100.0,43.33333333333333,37.72727272727273,8.865248226950355,100.0,100.0,100.0,0.0,0.0,100.0,100.0,68.75,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030002,PACITAN,PRINGKUKU,DERSONO,2,-8.2037881,2,110.9683077,1139,4556,100.0,100.0,0.0,69.03834767242049,50.83333333333333,0.0,9.877085162423178,100.0,100.0,100.0,40.0,40.0,50.0,62.5,75.0,1,0,0,1,1,1,3,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030003,PACITAN,PRINGKUKU,SUGIHWARAS,2,-8.1915317,2,110.994245,360,1440,100.0,100.0,0.0,73.87753925843475,43.33333333333333,45.0,6.944444444444445,100.0,100.0,100.0,40.0,0.0,50.0,50.0,75.0,1,0,0,1,1,1,3,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030004,PACITAN,PRINGKUKU,JLUBANG,1,-8.2090815,2,111.0062149,610,2440,100.0,100.0,0.0,74.9481319117776,30.0,3.6363636363636362,8.196721311475411,100.0,100.0,100.0,0.0,0.0,100.0,50.0,56.25,1,0,0,1,0,1,2,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030005,PACITAN,PRINGKUKU,CANDI,1,-8.219274,2,111.0274409,1296,5184,100.0,93.75,33.75,81.85940226280192,43.33333333333333,40.45454545454545,10.609567901234568,100.0,60.0,100.0,40.0,40.0,33.335,100.0,60.0,1,0,0,1,1,1,3,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030006,PACITAN,PRINGKUKU,POKO,1,-8.2204547,2,111.0430034,806,3224,100.0,100.0,0.0,89.06162468948105,43.33333333333333,35.90909090909091,7.754342431761787,100.0,100.0,100.0,0.0,40.0,50.0,50.0,68.75,1,0,0,1,1,1,2,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030007,PACITAN,PRINGKUKU,DADAPAN,1,-8.2167958,2,111.0579149,715,2860,100.0,100.0,60.0,79.4491130529644,43.33333333333333,5.454545454545455,19.230769230769234,100.0,60.0,100.0,0.0,35.0,50.0,50.0,68.75,1,0,0,1,1,1,2,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030008,PACITAN,PRINGKUKU,PRINGKUKU,1,-8.1893933,2,111.0437549,1335,5340,100.0,100.0,0.0,62.13710746447285,43.33333333333333,39.54545454545455,7.490636704119851,100.0,100.0,100.0,40.0,40.0,100.0,50.0,68.75,1,0,0,1,1,1,3,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030009,PACITAN,PRINGKUKU,SOBO,2,-8.1831418,2,111.0212366,285,1140,100.0,100.0,0.0,62.87860841988097,30.0,41.36363636363636,8.771929824561404,100.0,100.0,100.0,0.0,0.0,100.0,50.0,68.75,1,0,0,1,0,1,2,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501030010,PACITAN,PRINGKUKU,NGADIREJAN,1,-8.1653696,2,111.0443024,1302,5208,100.0,100.0,0.0,78.33159938487675,50.83333333333333,2.7272727272727275,19.201228878648234,94.1540620630723,60.0,100.0,100.0,40.0,50.0,50.0,81.25,1,0,0,1,1,1,4,1,0,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501030011,PACITAN,PRINGKUKU,GLINGGANGAN,1,-8.1541604,2,111.0710505,1231,4924,70.0,100.0,0.0,76.12691443195703,86.66666666666666,45.0,8.123476848090984,100.0,60.0,100.0,40.0,40.0,100.0,100.0,68.75,1,0,0,1,1,1,3,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501030012,PACITAN,PRINGKUKU,PELEM,1,-8.1244379,2,111.070612,1389,5556,70.0,100.0,0.0,91.53699975975208,43.33333333333333,43.18181818181818,7.199424046076314,100.0,60.0,100.0,0.0,40.0,50.0,50.0,68.75,1,0,0,1,1,1,2,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501030013,PACITAN,PRINGKUKU,TAMANASRI,1,-8.114741,2,111.0734071,1007,4028,69.96027805362462,100.0,0.0,82.48990963201933,43.33333333333333,38.63636363636363,7.447864945382324,92.44149831789485,100.0,100.0,0.0,40.0,100.0,37.5,68.75,1,0,0,1,1,1,2,0,0,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040001,PACITAN,PACITAN,SIDOHARJO,1,-8.1961533,2,111.0947963,3322,13288,100.0,100.0,93.75,0.0,43.33333333333333,42.27272727272727,9.783263094521372,100.0,60.0,100.0,60.0,0.0,100.0,100.0,68.75,0,0,1,1,1,1,4,1,1,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501040002,PACITAN,PACITAN,PLOSO,1,-8.2031669,2,111.099281,2710,10840,100.0,100.0,93.75,55.75568457424928,22.5,53.18181818181819,21.678966789667896,100.0,100.0,100.0,100.0,40.0,100.0,100.0,75.0,0,0,1,0,0,0,4,1,1,1,3,Desa Jasa Perkotaan Digital dengan Minim Kelembagaan Ekonomi Lokal
3501040003,PACITAN,PACITAN,KEMBANG,1,-8.2125009,2,111.1157383,962,3848,100.0,100.0,15.0,73.72819047041126,22.5,19.999999999999996,7.796257796257796,100.0,60.0,100.0,80.0,40.0,100.0,100.0,75.0,1,0,0,0,0,0,4,0,1,1,3,Desa Jasa Perkotaan Digital dengan Minim Kelembagaan Ekonomi Lokal
3501040004,PACITAN,PACITAN,SUKOHARJO,1,-8.212684,2,111.1323042,614,2456,100.0,100.0,15.0,40.65010955295845,37.5,62.272727272727266,32.57328990228013,100.0,60.0,100.0,0.0,40.0,100.0,100.0,75.0,1,0,0,1,0,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501040005,PACITAN,PACITAN,KAYEN,1,-8.2116038,2,111.1380285,981,3924,70.0,100.0,46.25,36.49126516958909,50.83333333333333,38.63636363636363,7.645259938837922,100.0,100.0,100.0,40.0,0.0,100.0,100.0,75.0,1,0,0,1,1,1,3,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040006,PACITAN,PACITAN,SIRNOBOYO,1,-8.2014931,2,111.1152786,1729,6916,100.0,100.0,15.0,76.88411513325921,65.83333333333333,57.72727272727272,11.56737998843262,100.0,60.0,100.0,0.0,0.0,100.0,100.0,75.0,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501040007,PACITAN,PACITAN,ARJOWINANGUN,1,-8.1988454,2,111.1182216,1134,4536,100.0,100.0,81.25,72.52995199795718,58.33333333333333,65.0,24.250440917107582,100.0,100.0,100.0,80.0,40.0,83.33500000000001,100.0,75.0,0,0,1,1,1,1,4,0,1,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501040008,PACITAN,PACITAN,BALEHARJO,1,-8.1975013,2,111.105039,1275,5100,100.0,100.0,56.25,78.33372373787824,56.666666666666664,65.0,24.509803921568626,100.0,60.0,100.0,80.0,0.0,50.0,100.0,75.0,0,0,1,1,1,1,4,0,1,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501040009,PACITAN,PACITAN,BANGUNSARI,1,-8.1962206,2,111.0854346,1852,7408,70.0,100.0,15.0,81.59297447746079,22.5,13.636363636363635,21.598272138228943,100.0,60.0,100.0,40.0,40.0,50.0,75.0,75.0,0,0,1,0,0,0,3,0,1,1,3,Desa Jasa Perkotaan Digital dengan Minim Kelembagaan Ekonomi Lokal
3501040010,PACITAN,PACITAN,SEDENG,1,-8.1810505,2,111.0696017,1102,4408,100.0,100.0,15.0,70.1322136711686,30.0,3.6363636363636362,14.745916515426497,100.0,100.0,100.0,0.0,0.0,100.0,100.0,75.0,1,0,0,1,0,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501040011,PACITAN,PACITAN,SUMBERHARJO,1,-8.1867804,2,111.0928704,581,2324,70.0,100.0,15.0,74.70932157120404,37.5,35.0,30.120481927710845,100.0,100.0,100.0,0.0,40.0,100.0,75.0,68.75,1,0,0,1,0,1,2,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040012,PACITAN,PACITAN,PUCANGSEWU,1,-8.1907078,2,111.0994824,1223,4892,100.0,75.0,15.0,75.009583755003,58.33333333333333,15.454545454545453,31.132461161079313,100.0,100.0,100.0,0.0,40.0,50.0,100.0,75.0,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501040013,PACITAN,PACITAN,PACITAN,1,-8.1912802,2,111.1028207,1233,4932,100.0,100.0,40.0,76.16563800952076,30.0,52.27272727272727,44.26196269261963,100.0,100.0,100.0,80.0,40.0,100.0,100.0,75.0,0,0,1,0,0,0,4,0,1,1,3,Desa Jasa Perkotaan Digital dengan Minim Kelembagaan Ekonomi Lokal
3501040014,PACITAN,PACITAN,TANJUNGSARI,1,-8.196944,2,111.1125514,1224,4896,100.0,100.0,40.0,42.37692483478255,30.0,19.999999999999996,26.552287581699346,100.0,60.0,100.0,0.0,0.0,50.0,87.5,75.0,0,0,1,0,0,0,2,0,1,1,3,Desa Jasa Perkotaan Digital dengan Minim Kelembagaan Ekonomi Lokal
3501040015,PACITAN,PACITAN,MENADI,1,-8.1943841,2,111.1206136,736,2944,100.0,100.0,15.0,89.61845140365783,100.0,52.27272727272727,13.586956521739133,100.0,100.0,100.0,0.0,0.0,100.0,100.0,75.0,0,0,1,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501040016,PACITAN,PACITAN,MENTORO,1,-8.1940164,2,111.1258047,993,3972,70.0,100.0,15.0,75.73215505126493,37.5,65.0,31.47029204431017,100.0,100.0,100.0,0.0,40.0,100.0,100.0,75.0,1,0,0,1,0,1,2,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040017,PACITAN,PACITAN,PURWOREJO,1,-8.1859429,2,111.131705,630,2520,70.0,100.0,15.0,53.352748675776354,43.33333333333333,58.63636363636363,13.88888888888889,100.0,100.0,100.0,40.0,40.0,100.0,100.0,75.0,1,0,0,1,1,1,3,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040018,PACITAN,PACITAN,NANGGUNGAN,1,-8.1823441,2,111.1169351,846,3384,70.0,100.0,15.0,72.21014814727101,30.0,9.090909090909092,16.252955082742318,100.0,100.0,100.0,0.0,40.0,100.0,100.0,75.0,1,0,0,1,0,1,2,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040019,PACITAN,PACITAN,WIDORO,1,-8.177499,2,111.1181278,701,2804,70.0,100.0,21.25,77.36177617617562,50.83333333333333,15.454545454545453,10.699001426533524,100.0,100.0,100.0,80.0,40.0,50.0,75.0,75.0,1,0,0,1,1,1,4,0,0,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040020,PACITAN,PACITAN,SEMANTEN,2,-8.1757476,2,111.1198544,514,2056,70.0,100.0,33.75,96.5695212061174,43.33333333333333,57.72727272727272,17.023346303501945,100.0,100.0,100.0,0.0,0.0,100.0,100.0,75.0,1,0,0,1,1,1,2,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040021,PACITAN,PACITAN,BANJARSARI,2,-8.1617668,2,111.1297077,573,2292,70.0,100.0,21.25,74.35622309401319,50.83333333333333,46.81818181818181,19.63350785340314,100.0,100.0,100.0,0.0,40.0,83.33500000000001,87.5,75.0,1,0,0,1,1,1,2,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040022,PACITAN,PACITAN,BOLOSINGO,2,-8.1494495,2,111.1243218,479,1916,70.0,100.0,21.25,87.72953305458836,45.0,48.63636363636363,23.48643006263048,100.0,60.0,100.0,0.0,100.0,50.0,100.0,75.0,1,0,0,1,0,1,2,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040023,PACITAN,PACITAN,SAMBONG,2,-8.1665134,2,111.1015681,1057,4228,70.0,100.0,6.25,91.65910075659578,43.33333333333333,42.27272727272727,9.460737937559129,100.0,100.0,100.0,40.0,0.0,50.0,100.0,75.0,1,0,0,1,1,1,3,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040024,PACITAN,PACITAN,PONGGOK,2,-8.148811,2,111.1065835,609,2436,70.0,75.0,0.0,75.87211138402225,30.0,40.45454545454545,10.262725779967159,100.0,60.0,100.0,40.0,40.0,100.0,100.0,68.75,1,0,0,1,0,1,3,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501040025,PACITAN,PACITAN,TAMBAKREJO,2,-8.147187,2,111.1348652,705,2820,70.0,75.0,21.25,81.65869777719888,30.0,2.7272727272727275,19.50354609929078,100.0,100.0,100.0,0.0,40.0,100.0,75.0,75.0,1,0,0,1,0,1,2,0,1,1,5,Desa Agraris dengan Kesejahteraan Tinggi tapi Akses Listrik/Air Terbatas
3501050001,PACITAN,KEBONAGUNG,PLUMBUNGAN,2,-8.2353089,2,111.1284568,407,1628,100.0,100.0,6.25,0.0,43.33333333333333,38.63636363636363,12.285012285012286,100.0,60.0,100.0,0.0,0.0,100.0,87.5,81.25,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501050002,PACITAN,KEBONAGUNG,KARANGNONGKO,2,-8.224339,2,111.1799768,707,2828,100.0,100.0,18.75,86.69860556299365,50.83333333333333,65.0,8.84016973125884,100.0,100.0,100.0,0.0,0.0,50.0,62.5,81.25,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501050003,PACITAN,KEBONAGUNG,KALIPELUS,2,-8.2481742,2,111.1541445,581,2324,100.0,100.0,6.25,79.76745725696324,50.83333333333333,30.0,10.757314974182446,100.0,100.0,100.0,0.0,0.0,50.0,87.5,81.25,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501050004,PACITAN,KEBONAGUNG,KATIPUGAL,2,-8.2458985,2,111.157565,677,2708,100.0,100.0,0.0,82.63647365774837,50.83333333333333,65.0,9.231905465288035,100.0,60.0,100.0,40.0,0.0,50.0,87.5,81.25,1,0,0,1,1,1,3,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501050005,PACITAN,KEBONAGUNG,KLESEM,2,-8.2468131,2,111.1737194,1118,4472,100.0,100.0,21.25,80.02262617706774,50.83333333333333,30.0,11.180679785330948,40.0,100.0,100.0,0.0,0.0,75.0,100.0,81.25,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501050006,PACITAN,KEBONAGUNG,SIDOMULYO,2,-8.2405367,2,111.1843382,1824,7296,100.0,100.0,15.0,73.2545529414073,20.833333333333332,30.0,11.650219298245613,83.30830878535116,100.0,100.0,100.0,0.0,75.0,100.0,75.0,1,0,0,0,1,1,4,1,1,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501050007,PACITAN,KEBONAGUNG,WORAWARI,2,-8.2382732,2,111.2212482,930,3720,100.0,100.0,15.0,88.6240896770603,34.166666666666664,65.0,13.440860215053764,100.0,60.0,100.0,40.0,0.0,50.0,100.0,75.0,0,1,0,0,1,1,3,0,1,1,0,Desa Industri Moderen dengan Infrastruktur Kuat tapi Minim Pendidikan Lanjut
